Race,Age.Group,Year.of.diagnosis,Sex,Count
0,6,30,0,43
0,6,30,1,24
0,6,30,2,19
0,6,31,0,36
0,6,31,1,22
0,6,31,2,14
0,6,32,0,44
0,6,32,1,21
0,6,32,2,23
0,6,33,0,60
0,6,33,1,31
0,6,33,2,29
0,6,34,0,61
0,6,34,1,32
0,6,34,2,29
0,6,35,0,44
0,6,35,1,30
0,6,35,2,14
0,6,36,0,36
0,6,36,1,22
0,6,36,2,14
0,6,37,0,63
0,6,37,1,34
0,6,37,2,29
0,6,38,0,40
0,6,38,1,23
0,6,38,2,17
0,6,39,0,57
0,6,39,1,30
0,6,39,2,27
0,6,40,0,64
0,6,40,1,36
0,6,40,2,28
0,6,41,0,53
0,6,41,1,31
0,6,41,2,22
0,6,42,0,59
0,6,42,1,30
0,6,42,2,29
0,6,43,0,67
0,6,43,1,39
0,6,43,2,28
0,6,44,0,47
0,6,44,1,26
0,6,44,2,21
0,6,45,0,59
0,6,45,1,31
0,6,45,2,28
0,7,0,0,2278
0,7,0,1,1313
0,7,0,2,965
0,7,1,0,29
0,7,1,1,17
0,7,1,2,12
0,7,2,0,39
0,7,2,1,20
0,7,2,2,19
0,7,3,0,40
0,7,3,1,25
0,7,3,2,15
0,7,4,0,36
0,7,4,1,28
0,7,4,2,8
0,7,5,0,32
0,7,5,1,18
0,7,5,2,14
0,7,6,0,39
0,7,6,1,21
0,7,6,2,18
0,7,7,0,46
0,7,7,1,21
0,7,7,2,25
0,7,8,0,40
0,7,8,1,21
0,7,8,2,19
0,7,9,0,43
0,7,9,1,23
0,7,9,2,20
0,7,10,0,49
0,7,10,1,30
0,7,10,2,19
0,7,11,0,38
0,7,11,1,20
0,7,11,2,18
0,7,12,0,34
0,7,12,1,22
0,7,12,2,12
0,7,13,0,51
0,7,13,1,25
0,7,13,2,26
0,7,14,0,55
0,7,14,1,31
0,7,14,2,24
0,7,15,0,52
0,7,15,1,31
0,7,15,2,21
0,7,16,0,36
0,7,16,1,21
0,7,16,2,15
0,7,17,0,43
0,7,17,1,22
0,7,17,2,21
0,7,18,0,53
0,7,18,1,39
0,7,18,2,14
0,7,19,0,43
0,7,19,1,26
0,7,19,2,17
0,7,20,0,46
0,7,20,1,30
0,7,20,2,16
0,7,21,0,72
0,7,21,1,43
0,7,21,2,29
0,7,22,0,47
0,7,22,1,31
0,7,22,2,16
0,7,23,0,42
0,7,23,1,27
0,7,23,2,15
0,7,24,0,45
0,7,24,1,33
0,7,24,2,12
0,7,25,0,36
0,7,25,1,23
0,7,25,2,13
0,7,26,0,67
0,7,26,1,40
0,7,26,2,27
0,7,27,0,55
0,7,27,1,33
0,7,27,2,22
0,7,28,0,54
0,7,28,1,28
0,7,28,2,26
0,7,29,0,52
0,7,29,1,29
0,7,29,2,23
0,7,30,0,64
0,7,30,1,35
0,7,30,2,29
0,7,31,0,49
0,7,31,1,30
0,7,31,2,19
0,7,32,0,45
0,7,32,1,27
0,7,32,2,18
0,7,33,0,50
0,7,33,1,25
0,7,33,2,25
0,7,34,0,55
0,7,34,1,33
0,7,34,2,22
0,7,35,0,48
0,7,35,1,26
0,7,35,2,22
0,7,36,0,51
0,7,36,1,28
0,7,36,2,23
0,7,37,0,65
0,7,37,1,47
0,7,37,2,18
0,7,38,0,67
0,7,38,1,33
0,7,38,2,34
0,7,39,0,71
0,7,39,1,36
0,7,39,2,35
0,7,40,0,58
0,7,40,1,29
0,7,40,2,29
0,7,41,0,55
0,7,41,1,32
0,7,41,2,23
0,7,42,0,74
0,7,42,1,35
0,7,42,2,39
0,7,43,0,86
0,7,43,1,46
0,7,43,2,40
0,7,44,0,66
0,7,44,1,38
0,7,44,2,28
0,7,45,0,60
0,7,45,1,35
0,7,45,2,25
0,8,0,0,2851
0,8,0,1,1662
0,8,0,2,1189
0,8,1,0,40
0,8,1,1,23
0,8,1,2,17
0,8,2,0,35
0,8,2,1,20
0,8,2,2,15
0,8,3,0,27
0,8,3,1,21
0,8,3,2,6
0,8,4,0,41
0,8,4,1,24
0,8,4,2,17
0,8,5,0,41
0,8,5,1,20
0,8,5,2,21
0,8,6,0,41
0,8,6,1,24
0,8,6,2,17
0,8,7,0,39
0,8,7,1,25
0,8,7,2,14
0,8,8,0,49
0,8,8,1,30
0,8,8,2,19
0,8,9,0,57
0,8,9,1,34
0,8,9,2,23
0,8,10,0,60
0,8,10,1,37
0,8,10,2,23
0,8,11,0,60
0,8,11,1,29
0,8,11,2,31
0,8,12,0,47
0,8,12,1,26
0,8,12,2,21
0,8,13,0,65
0,8,13,1,28
0,8,13,2,37
0,8,14,0,64
0,8,14,1,38
0,8,14,2,26
0,8,15,0,55
0,8,15,1,28
0,8,15,2,27
0,8,16,0,54
0,8,16,1,33
0,8,16,2,21
0,8,17,0,52
0,8,17,1,37
0,8,17,2,15
0,8,18,0,59
0,8,18,1,42
0,8,18,2,17
0,8,19,0,56
0,8,19,1,37
0,8,19,2,19
0,8,20,0,65
0,8,20,1,42
0,8,20,2,23
0,8,21,0,70
0,8,21,1,46
0,8,21,2,24
0,8,22,0,66
0,8,22,1,32
0,8,22,2,34
0,8,23,0,73
0,8,23,1,41
0,8,23,2,32
0,8,24,0,75
0,8,24,1,47
0,8,24,2,28
0,8,25,0,73
0,8,25,1,45
0,8,25,2,28
0,8,26,0,76
0,8,26,1,44
0,8,26,2,32
0,8,27,0,62
0,8,27,1,36
0,8,27,2,26
0,8,28,0,66
0,8,28,1,40
0,8,28,2,26
0,8,29,0,60
0,8,29,1,36
0,8,29,2,24
0,8,30,0,52
0,8,30,1,28
0,8,30,2,24
0,8,31,0,66
0,8,31,1,41
0,8,31,2,25
0,8,32,0,70
0,8,32,1,39
0,8,32,2,31
0,8,33,0,51
0,8,33,1,32
0,8,33,2,19
0,8,34,0,77
0,8,34,1,46
0,8,34,2,31
0,8,35,0,78
0,8,35,1,42
0,8,35,2,36
0,8,36,0,80
0,8,36,1,41
0,8,36,2,39
0,8,37,0,75
0,8,37,1,39
0,8,37,2,36
0,8,38,0,75
0,8,38,1,36
0,8,38,2,39
0,8,39,0,79
0,8,39,1,51
0,8,39,2,28
0,8,40,0,87
0,8,40,1,45
0,8,40,2,42
0,8,41,0,73
0,8,41,1,39
0,8,41,2,34
0,8,42,0,88
0,8,42,1,52
0,8,42,2,36
0,8,43,0,79
0,8,43,1,47
0,8,43,2,32
0,8,44,0,92
0,8,44,1,58
0,8,44,2,34
0,8,45,0,101
0,8,45,1,61
0,8,45,2,40
0,9,0,0,3499
0,9,0,1,2056
0,9,0,2,1443
0,9,1,0,32
0,9,1,1,13
0,9,1,2,19
0,9,2,0,47
0,9,2,1,30
0,9,2,2,17
0,9,3,0,34
0,9,3,1,21
0,9,3,2,13
0,9,4,0,44
0,9,4,1,28
0,9,4,2,16
0,9,5,0,49
0,9,5,1,31
0,9,5,2,18
0,9,6,0,56
0,9,6,1,31
0,9,6,2,25
0,9,7,0,38
0,9,7,1,24
0,9,7,2,14
0,9,8,0,50
0,9,8,1,36
0,9,8,2,14
0,9,9,0,57
0,9,9,1,32
0,9,9,2,25
0,9,10,0,40
0,9,10,1,24
0,9,10,2,16
0,9,11,0,59
0,9,11,1,39
0,9,11,2,20
0,9,12,0,58
0,9,12,1,34
0,9,12,2,24
0,9,13,0,58
0,9,13,1,33
0,9,13,2,25
0,9,14,0,69
0,9,14,1,39
0,9,14,2,30
0,9,15,0,76
0,9,15,1,41
0,9,15,2,35
0,9,16,0,71
0,9,16,1,51
0,9,16,2,20
0,9,17,0,85
0,9,17,1,48
0,9,17,2,37
0,9,18,0,74
0,9,18,1,40
